URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://jpfhir.jp/fhir/core/ValueSet/JP_ConditionDiseaseOutcomeReceipt_VS,1.2.0-dev,active,,JP_ConditionDiseaseOutcomeReceipt_VS,JP Core Condition Disease Outcome Receipt System ValueSet,"レセプト電算システムの病名転帰区分を示す値セット",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_ConditionSeverity_VS,1.2.0-dev,active,,JP_ConditionSeverity_VS,JP Core Condition Severity ValueSet,"Conditionの重症度を示す値セット",,"jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_DICOMModality_VS,1.2.0-dev,active,,JP_DICOMModality_VS,JP Core DICOM Modality ValueSet,"放射線モダリテに対する 値セット",,"DICOM"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalBodySiteStatus_VS,1.2.0-dev,active,,JP_DentalBodySiteStatus_VS,JP Core Dental BodySiteStatus ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する身体部位状態コード",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalBodySite_VS,1.2.0-dev,active,,JP_DentalBodySite_VS,JP Core Dental BodySite ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する身体部位コード",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalBodyStructure_VS,1.2.0-dev,active,,JP_DentalBodyStructure_VS,JP Core Dental BodyStructure ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する歯の詳細部位構造コード",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalFundamentalStatus_VS,1.2.0-dev,active,,JP_DentalFundamentalStatus_VS,JP Core Dental FundamentalStatus ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する歯の基礎状態コード",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalMissingTeethObservation_VS,1.2.0-dev,active,,JP_DentalMissingTeethObservation_VS,JP Core Dental MissingTeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する欠損歯の観察結果コード",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalPresentTeethObservation_VS,1.2.0-dev,active,,JP_DentalPresentTeethObservation_VS,JP Core Dental PresentTeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する現存歯の観察結果コード",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalSimpleMissingTeethObservation_VS,1.2.0-dev,active,,JP_DentalSipmleMissingTeethObservation_VS,JP Core Dental SimpleMissingTeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する欠損歯の観察結果コード（簡易版）",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalSimplePresentTeethObservation_VS,1.2.0-dev,active,,JP_DentalSipmlePresentTeethObservation_VS,JP Core Dental SimplePresentTeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する現存歯の観察結果コード（簡易版）",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DiagnosticReportCategory_VS,1.2.0-dev,active,,JP_DiagnosticReportCategory_VS,JP Core Diagnostic Report Category ValueSet,"DiagnosticReportカテゴリ 値セット",,"LOINC"
http://jpfhir.jp/fhir/core/ValueSet/JP_DocumentCodes_DiagnosticReport_VS,1.2.0-dev,active,,JP_DocumentCodes_DiagnosticReport_VS,JP Core Document Codes DiagnosticReport ValueSet,"Document Codes DiagnosticReport 値セット",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DocumentCodes_Endoscopy_VS,1.2.0-dev,active,,JP_DocumentCodes_Endoscopy_VS,JP Core Document Codes Endoscopy ValueSet,"Document Codes Endoscopy 値セット",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_MedicalLicenseCertificate_VS,1.2.0-dev,active,,JP_MedicalLicenseCertificate_VS,JP Core MedicalLicense Certificate ValueSet,"医療関連免許証明に関する値セット",,"jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_MicrobiologyCategory_VS,1.2.0-dev,active,,JP_MicrobiologyCategory_VS,JP Core MicrobiologyCategory ValueSet,"微生物学検査カテゴリ値セット",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_Microbiology_AntiMicrobialDrug_VS,1.2.0-dev,active,,JP_Microbiology_AntiMicrobialDrug_VS,JP Core Microbiology AntiMicrobial Drug ValueSet,"微生物学検査 抗微生物学的薬剤値セット   本コードは厚生労働省院内感染対策サーベイランス事業(https://janis.mhlw.go.jp/)で作成されているマスタを編集・加工して利用している",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_Microbiology_InfectiousAgent_VS,1.2.0-dev,active,,JP_Microbiology_InfectiousAgent_VS,JP Core Microbiology Infectious Agent ValueSet,"微生物学的検査感染性物質値セット   本コードは厚生労働省院内感染対策サーベイランス事業(https://janis.mhlw.go.jp/)で作成されているマスタを編集・加工して利用している",,"Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_ObservationBodyMeasurementCategory_VS,1.2.0-dev,active,,JP_ObservationBodyMeasurementCategory_VS,JP Core Observation BodyMeasurement Category ValueSet,"Observation（身体計測）カテゴリで使用する分類の値セット",,"Internal"
