URL,Version,Status,OIDs,Name,Title,Description,Used
http://jpfhir.jp/fhir/core/mhlw/CodeSystem/MedicationFeeScoreType,1.1.1,active,,JP_MedicalFeeScoreType_CS,JP Core MedicalFeeScoreType CodeSystem,"診療報酬点数区分コード","ValueSet/jp-medicalfeescoretype-vs"
http://jpfhir.jp/fhir/core/mhlw/CodeSystem/MedicationGeneralOrderCode,2020.12.11,active,,JP_MedicationCodeCommon_CS,JP Core MedicationCode Common CodeSystem,"医薬品一般名処方コードのコードシステム","ValueSet/jp-medicationcode-vs"
http://jpfhir.jp/fhir/core/mhlw/CodeSystem/MedicationIngredientStrengthStrengthType,1.1.1,active,,JP_MedicationIngredientStrengthStrengthType_CS,JP Core Medication IngredientStrength StrengthType CodeSystem,"力価区分","ValueSet/jp-medicationingredientstrengthstrengthtype-vs"
http://jpfhir.jp/fhir/core/mhlw/CodeSystem/MedicationSubstitutionProhibittedCategory,1.1.1,active,,JP_MedicationSubstitutionNotAllowedReason_CS,JP Core Medication Substitution Not Allowed Reason CodeSystem,"後発医薬品変更不可区分のコードシステム 厚労省電子処方CDA規格別表8 後発品変更不可コード","ValueSet/jp-medicationsubstitutionnotallowedreason-vs"
http://jpfhir.jp/fhir/core/mhlw/CodeSystem/MedicationUnitMERIT9Code,1.1.1,active,,JP_MedicationUnitMERIT9_CS,JP Core Medication MERIT9 Unit CodeSystem,"MERIT9医薬品単位略号のコードシステム","ValueSet/jp-medicationunitmerit9-vs"
http://jpfhir.jp/fhir/core/mhlw/CodeSystem/PrefectureNo-2digits,1.1.1,active,"1.2.392.100495.20.3.21",JP_PrefectureNumber_CS,JP Core PrefectureNumber CodeSystem,"全国地方公共団体コードの都道府県コード（ISO 3166-2:JP）","ValueSet/jp-prefecturenumber-vs"
http://jpfhir.jp/fhir/core/mhlw/CodeSystem/masterB-disease,2025.1.1,active,,JP_ConditionDieaseCodeReceipt_CS,JP Core Condition Disease Code Receipt System CodeSystem,"レセプト電算用傷病名マスター コードシステム 廃止病名を含まない","ValueSet/jp-condition-disease-code-receipt-vs"
http://jpfhir.jp/fhir/core/mhlw/CodeSystem/masterZ-disease-modifier,2025.1.1,active,,JP_ConditionDieaseModifierReceipt_CS,JP Core Condition Disease Modifier Receipt System CodeSystem,"レセプト電算用修飾語マスター コードシステム","ValueSet/jp-condition-disease-modifier-receipt-vs"
http://loinc.org,3.1.0,active,,US_Loinc_CS,Loinc CodeSystem PART file + Core Table Japanese Modification,"LOINC PART file + Core Table(donwloaded from official site) version 2.74","ValueSet/jp-observation-radiology-code-vs,ValueSet/jp-diagnosticreportcategory-vs,ValueSet/jp-observation-electrocardiogram-component-code-vs,ValueSet/jp-observation-endoscopy-code-vs"
http://medis.or.jp/CodeSystem/master-HOT13,2025.4.1,active,,MEDIS_codeSystem_HOT13,MEDIS 基準番号（ＨＯＴ１３）,"MEDIS 医薬品基準番号（ＨＯＴ１３）","ValueSet/jp-medicationcode-immunization-vs,ValueSet/jp-medicationcode-vs"
http://medis.or.jp/CodeSystem/master-HOT7,2025.4.1,active,,MEDIS_codeSystem_HOT7,MEDIS 処方用番号（ＨＯＴ７）,"MEDIS 処方用番号（ＨＯＴ７）","ValueSet/jp-medicationcode-vs"
http://medis.or.jp/CodeSystem/master-HOT9,2025.4.1,active,,MEDIS_codeSystem_HOT9,MEDIS 基準番号（ＨＯＴ９）,"MEDIS 医薬品基準番号（ＨＯＴ９）","ValueSet/jp-medicationcode-immunization-vs,ValueSet/jp-medicationcode-vs"
http://medis.or.jp/CodeSystem/master-JLAC10-17digits,1.1.1,active,,JP_ObservationLabResultCode_CS,JP Core Observation LabResult Code CodeSystem,"Observation（検体検査結果）で使用する項目コード  MEDIS 臨床検査マスターまとめ表17桁、JLAC10ベースのコード表、名称は合成名称","ValueSet/jp-observationlabresultcode-vs"
http://medis.or.jp/CodeSystem/master-disease-exCode,5.15.0,active,,MEDIS_codeSystem_diseaseConceptCodes,MEDIS病名交換用コード propertyなし  削除病名を含まない,"MEDIS病名交換用コード 削除病名を含まない","ValueSet/jp-condition-disease-code-medis-exchange-vs"
http://medis.or.jp/CodeSystem/master-disease-keyNumber,5.15.0,active,,MEDIS_codeSystem_diseaseKanriCodes,MEDIS病名管理番号 propertyなし 削除病名を含む,"MEDIS病名管理番号 削除病名を含む","ValueSet/jp-condition-disease-code-medis-record-no-vs"
http://medis.or.jp/CodeSystem/master-disease-modExCode,5.15.0,active,,MEDIS_codeSystem_diseaseName_exchangeCodes_Modifiers,MEDIS病名 修飾語交換用コード,"MEDIS標準病名 修飾語交換用コード","ValueSet/jp-condition-disease-modifier-medis-exchange-vs"
