URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://jpfhir.jp/fhir/Examples/ValueSet/JP_MedicationRequestDosageInstructionLine_VS,1.1.0,active,,JP_MedicationExampleLine_VS,JP Core Medication Example Line ValueSet,"投与ラインの値セット例","StructureDefinition/jp-medicationdosage-line","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_AllergyIntolerance_VS,2023.9.25,active,,JP_AllergyIntolerance_VS,JP Core AllergyIntolerance ValueSet,"アレルギー・不耐症に関連するアレルゲン値セット","StructureDefinition/jp-allergyintolerance","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_ConclusionCodesJed_VS,1.1.0,active,,JP_ConclusionCodesJed_VS,JP Core DiagnosticReport Endoscopy Conclusion Codes JED ValueSet,"日本消化器内視鏡学会が推進するJED (Japan Endoscopy Database) Projectのコード値セットのうち主に「質的診断」に該当するコード","StructureDefinition/jp-diagnosticreport-endoscopy","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_ConditionDiseaseOutcomeHL70241_VS,1.0.0,active,,JP_ConditionDiseaseOutcomeHL70241_VS,JP Core Condition Disease Outcome HL70241 ValueSet,"HL7表0241の病名転帰区分を示す値セット","StructureDefinition/jp-condition-disease-outcome","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_ConditionDiseaseOutcomeJHSD0006_VS,1.0.0,active,,JP_ConditionDiseaseOutcomeJHSD0006_VS,JP Core Condition Disease Outcome JHSD0006 ValueSet,"JHSD表0006の病名転帰区分を示す値セット","StructureDefinition/jp-condition-disease-outcome","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_ConditionDiseaseOutcomeReceipt_VS,1.2.0,active,,JP_ConditionDiseaseOutcomeReceipt_VS,JP Core Condition Disease Outcome Receipt System ValueSet,"レセプト電算システムの病名転帰区分を示す値セット","StructureDefinition/jp-condition-disease-outcome","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_ConditionSeverity_VS,1.1.0,active,,JP_ConditionSeverity_VS,JP Core Condition Severity ValueSet,"Conditionの重症度を示す値セット","StructureDefinition/jp-condition","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_Condition_BodySite_VS,1.2.0,active,,JP_Condition_BodySite_VS,JP Core Condition BodySite ValueSet,"病名・状態の対象となる身体部位のコード",,"jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_DICOMModality_VS,1.2.0,active,,JP_DICOMModality_VS,JP Core DICOM Modality ValueSet,"放射線モダリテに対する 値セット","StructureDefinition/jp-imagingstudy-endoscopy,StructureDefinition/jp-imagingstudy-radiology,StructureDefinition/jp-media-endoscopy,StructureDefinition/jp-diagnosticreport-radiology","DICOM"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalBodySiteStatus_VS,1.2.0,active,,JP_DentalBodySiteStatus_VS,JP Core Dental BodySiteStatus ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する身体部位状態コード","StructureDefinition/jp-observation-dentaloral-bodysitestatus","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalBodySite_VS,1.2.0,active,,JP_DentalBodySite_VS,JP Core Dental BodySite ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する身体部位コード","StructureDefinition/jp-observation-dentaloral-missingtoothcondition,StructureDefinition/jp-observation-dentaloral-toothtreatmentcondition,StructureDefinition/jp-observation-dentaloral-ecs,StructureDefinition/jp-observation-dentaloral-toothexistence","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalFundamentalStatus_VS,1.2.0,active,,JP_DentalFundamentalStatus_VS,JP Core Dental FundamentalStatus ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する歯の基礎状態コード","StructureDefinition/jp-observation-dentaloral-toothexistence","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalMissingTeethObservation_VS,1.2.0,active,,JP_DentalMissingTeethObservation_VS,JP Core Dental MissingTeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する欠損歯の観察結果コード","StructureDefinition/jp-observation-dentaloral-missingtoothcondition","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalPresentTeethObservation_VS,1.2.0,active,,JP_DentalPresentTeethObservation_VS,JP Core Dental PresentTeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する現存歯の観察結果コード","StructureDefinition/jp-observation-dentaloral-toothtreatmentcondition","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalRootBodyStructure_VS,1.2.0,active,,JP_DentalRootBodyStructure_VS,JP Core Dental RootBodyStructure ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する歯根に関する詳細部位構造コード","StructureDefinition/jp-observation-dentaloral-toothroot,StructureDefinition/jp-observation-dentaloral-ecs","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalSimpleMissingTeethObservation_VS,1.2.0,active,,JP_DentalSipmleMissingTeethObservation_VS,JP Core Dental SimpleMissingTeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する欠損歯の観察結果コード（簡易版）","StructureDefinition/jp-observation-dentaloral-missingtoothcondition","Internal"
